is_female,age,race,employment_income,interest_dividend_income,pension_income,transformed_networth,wgt
1,41,1,42155.561122244486,0.0,0.0,13.162737271546291,3977.8495128330774
0,19,4,0.0,0.0,0.0,11.208571858414281,13312.145306589071
0,19,4,0.0,0.0,0.0,13.744444109531567,13413.744495253271
0,19,4,0.0,0.0,0.0,5.480656284001007,13412.09201584004
0,19,4,0.0,0.0,0.0,11.991145249025731,13551.77465574484
0,19,4,0.0,0.0,0.0,11.772208062959848,13444.977243366428
0,51,2,51883.76753507014,0.0,0.0,10.203592146358208,1971.002732900298
0,51,2,36751.00200400801,0.0,0.0,13.190022025881637,1932.7158134171405
0,51,2,35670.09018036072,0.0,0.0,9.947504440242227,1936.310289894764
0,51,2,34589.178356713426,0.0,0.0,11.015345068224775,1986.8052139909305
0,51,2,28103.70741482966,0.0,0.0,17.33123233835456,1931.4586933854716
1,62,2,43236.47294589179,0.0,0.0,12.599127733573047,6286.050114312942
1,62,2,43236.47294589179,0.0,0.0,12.87543929743127,6334.197005029628
1,62,2,43236.47294589179,0.0,0.0,14.116414830585724,6728.015371137122
1,62,2,43236.47294589179,0.0,0.0,12.729913206382427,6512.002193323305
1,62,2,43236.47294589179,0.0,0.0,16.878621066848215,6846.320337186165
0,68,1,32.427354709418836,6874.599198396793,48641.03206412826,13.07182769070086,7701.619617374456
0,68,1,21.618236472945892,6874.599198396793,48641.03206412826,13.954402556831651,9064.83025655668
0,68,1,32.427354709418836,6874.599198396793,48641.03206412826,13.92744541520203,6496.480098993112
0,68,1,32.427354709418836,6874.599198396793,48641.03206412826,9.5309735498339,7777.5575026171455
0,68,1,21.618236472945892,6874.599198396793,48641.03206412826,12.572519686629622,7005.480571290723
0,23,2,41074.64929859719,0.0,0.0,12.767401251477407,11364.335765691869
0,23,2,41074.64929859719,0.0,0.0,14.14351850188814,11744.93441408544
0,23,2,41074.64929859719,0.0,0.0,10.26813066732967,11388.43762357899
0,23,2,41074.64929859719,0.0,0.0,12.90912065077351,11723.022028711715
0,23,2,41074.64929859719,0.0,0.0,15.71462854551285,11469.061251432151
