is_female,age,race,employment_income,interest_dividend_income,pension_income,networth,wgt,transformed_networth
0,52.0,1,3783191.5,43236.473,0.0,26096000.0,2144.8293033135647,17.77043978440288
0,73.0,1,0.0,97.28207,121062.125,2349990.0,7241.023638167162,15.363068811352129
1,28.0,2,1297.0942,0.0,0.0,300.0,2441.5440024735485,6.39693243298235
0,57.0,3,10809.118,0.0,12970.941,8600.0,6377.079856942661,9.75266466618175
0,70.0,1,0.0,0.0,57288.33,756900.0,8767.189008705192,14.23013360385764
1,64.0,1,43236.473,0.0,0.0,1009500.0,9513.584836107944,14.51811289729522
0,49.0,1,144842.19,1189.003,0.0,1107300.0,1326.0519441679528,14.610582358246347
0,57.0,4,76744.74,0.0,0.0,360610.0,3187.4986087613506,13.488699501487222
0,65.0,1,0.0,1080911.9,19996.87,94529000.0,57.5257583627023,19.057564404253277
0,50.0,1,149165.83,0.0,0.0,34800.0,12436.01135594754,11.150519846528946
0,56.0,1,151327.66,10.809118,0.0,3137500.0,709.0864607726846,15.652084042982148
0,71.0,1,3242.7354,48641.03,54045.59,80108500.0,691.5135947966958,18.892039704321792
0,64.0,1,189159.56,1080.9119,0.0,1403000.0,91.67190921054006,14.84727053964467
0,72.0,2,0.0,0.0,9512.024,1018000.0,8302.474244622392,14.526497656652792
0,27.0,1,145923.1,0.0,0.0,176600.0,15677.35501058022,12.774789747719955
0,27.0,1,129709.42,551.265,0.0,362530.0,3558.017353711515,13.494009689035098
0,58.0,1,410746.5,1091.721,0.0,1902500.0,4931.339988793985,15.151826549277992
0,27.0,1,34589.18,0.0,0.0,-5695.0,5344.660968147009,-9.34049106414942
1,19.0,1,7134.018,0.0,0.0,16370.0,3475.9325564815736,10.396352851858042
1,36.0,2,0.0,0.0,0.0,145300.0,2168.0405617071156,12.579703030130162
0,68.0,1,0.0,0.0,54045.59,290750.0,11928.420850846993,13.273366250943813
1,55.0,2,0.0,0.0,81068.39,140100.0,8571.48904173132,12.54325891289778
1,77.0,1,0.0,25941.883,67016.53,1562250.0,6332.357799704056,14.954784828351375
0,83.0,4,0.0,108.09118,38912.824,1037000.0,2377.31722630395,14.544989667771842
0,48.0,2,183755.02,0.0,0.0,563201.0,3606.210289910069,13.93453903995331
1,56.0,1,0.0,0.0,17294.59,53321.0,4107.577347865334,11.577232709453328
0,57.0,1,489653.06,109172.09,0.0,8062300.0,3076.044370399973,16.595856614136885
0,34.0,1,6485.4707,0.0,0.0,-17495.0,7543.271574875798,-10.462817586178527
0,51.0,1,594501.5,4756.012,0.0,2878000.0,11356.17180202316,15.565753346989426
0,27.0,1,194564.12,0.0,0.0,287100.0,11443.775072823952,13.260733046672131
0,53.0,3,118900.3,0.0,0.0,358300.0,6625.719320799055,13.482273083854938
0,64.0,1,111333.914,0.0,0.0,1417150.0,6429.498159958254,14.85730555107569
0,32.0,1,86472.945,907.96594,0.0,293300.0,1779.6120616134244,13.282098435528392
0,67.0,1,0.0,216.18236,321030.8,1582000.0,7866.84559677417,14.96734760786978
1,63.0,2,1513.2766,0.0,0.0,360.0,9069.343525425207,6.579253141016865
0,59.0,1,21618.236,0.0,59450.15,646100.0,5255.136720777396,14.071856750106802
1,85.0,2,0.0,0.0,11890.03,71620.0,9907.029449567895,11.872276824161109
0,42.0,3,56207.414,0.0,0.0,9800.0,1459.112378854761,9.88328484782169
0,35.0,2,216182.36,10809.118,0.0,345000.0,8393.452387246187,13.444446876575542
0,31.0,1,48641.03,853.92035,0.0,696140.0,1686.6315843867226,14.146453249074472
0,63.0,2,62692.887,0.0,0.0,55540.0,1941.8520754202607,11.618005941501782
1,36.0,2,64854.71,0.0,0.0,4830.0,1671.7573292809952,9.175748937922885
1,70.0,1,19456.412,2486.0972,55126.504,2312300.0,7380.070737900455,15.34690043870205
0,36.0,3,27022.795,0.0,0.0,7550.0,2931.394733782776,9.622450027188789
0,72.0,1,-1.0809119,120975.65,91877.51,19454400.0,861.3122624457352,17.476731004084236
0,66.0,1,254014.28,47019.664,0.0,7481000.0,2927.521023946915,16.521024211414492
1,26.0,3,21618.236,0.0,0.0,14440.0,6981.256927401715,10.270904594205724
1,63.0,1,136194.89,0.0,0.0,413500.0,10314.802551527046,13.62555997400729
1,80.0,3,0.0,0.0,0.0,0.0,3775.322478409304,0.0
0,47.0,3,0.0,0.0,0.0,54600.0,4546.07578706763,11.6009363423768
1,48.0,2,37831.914,0.0,0.0,4201.0,9164.789992679402,9.036225065894916
0,58.0,1,378319.12,145923.1,0.0,60931000.0,66.34921817865641,18.618399814926324
0,30.0,2,36751.004,0.0,0.0,16450.0,2165.849998735208,10.401227937677328
0,43.0,2,43236.473,0.0,0.0,-10000.0,1506.0109239675162,-9.903487555036127
0,63.0,4,361024.56,3171395.2,0.0,1529792000.0,44.98350216024359,21.84154479595655
0,69.0,1,0.0,32.427353,138356.72,3386550.0,3241.470161702392,15.728469442594196
